Id,Designator,Package,Quantity,Designation,Supplier and ref,
1,K1,Relay_SPST_OMRON-G5Q-1A4_OEM,1,G5Q-1A4-DC5-5V,,Last
2,C1,C_0805_OEM,1,C_10uF_16V,,
3,C2,C_1206_OEM,1,C_22uF,,
4,D1,DO-214AA,1,D_Zener_18V,,
5,"D2,D4",LED_0805_OEM,2,LED_0805,,
6,D3,D_0805_OEM,1,D_Schottky_Small,,No
7,F1,Fuse_1210,1,F_500mA_16V,,No
8,J1,micromatch_female_ra_4,1,MM_F_RA_04,,Last
9,J2,Ultrafit_2,1,UF_2_VT,,Last
10,"Q1,Q2",SOT-23F,2,SSM3K333R,,
11,"R1,R5,R12",R_0805_OEM,3,R_1K,,
12,"R2,R6,R9",R_0805_OEM,3,R_2.2K,,
13,"R3,R13",R_0805_OEM,2,R_300K,,
14,"R4,R7,R10,R11",R_0805_OEM,4,R_604K,,
15,R8,R_0805_OEM,1,R_120K,,
16,U1,Ultrafit_5,1,Ultrafit_5(IMD),,Last
17,"U2,U3",SOT-23-5_OEM,2,TLV3701QDBVRG4Q1,,No
18,U4,TSSOP-16-OEM,1,CD4044BPWR,,No
